127.0.0.1 - - [26/Mar/2021:00:54:14 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:16 +0900] "GET /JspBoard/index.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:16 +0900] "GET /JspBoard/css/custom.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:17 +0900] "GET /JspBoard/main.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:17 +0900] "GET /JspBoard/images/1.png HTTP/1.1" 200 526183
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:17 +0900] "GET /JspBoard/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:17 +0900] "GET /JspBoard/images/2.png HTTP/1.1" 200 504004
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:17 +0900] "GET /JspBoard/images/3.png HTTP/1.1" 200 502998
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:17 +0900] "GET /JspBoard/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:17 +0900] "GET /JspBoard/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:18 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:29 +0900] "GET /JspBoard/bbs.jsp HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:31 +0900] "GET /JspBoard/main.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:00:54:34 +0900] "GET /JspBoard/login.jsp HTTP/1.1" 200 2182
