127.0.0.1 - - [11/May/2020:10:04:01 +0900] "GET / HTTP/1.1" 200 11414
0:0:0:0:0:0:0:1 - - [11/May/2020:10:04:03 +0900] "GET /Practice/02-02form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [11/May/2020:10:04:23 +0900] "POST /Practice/02-03viewParameter.jsp HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [11/May/2020:10:42:45 +0900] "GET /Practice/02-02form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [11/May/2020:10:42:52 +0900] "POST /Practice/02-03viewParameter.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [11/May/2020:10:43:19 +0900] "GET /Practice/02-02form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [11/May/2020:10:43:26 +0900] "POST /Practice/02-03viewParameter.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [11/May/2020:11:16:02 +0900] "GET /Practice/02-02form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [11/May/2020:11:16:13 +0900] "POST /Practice/02-03viewParameter.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [11/May/2020:11:33:48 +0900] "GET /Practice/02-02form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [11/May/2020:11:33:54 +0900] "POST /Practice/02-03viewParameter.jsp HTTP/1.1" 200 316
